"id","presente","id_vereador","id_sessao","timestamp"
3526,true,40,102,2019-11-26 23:17:19
3527,true,40,103,2019-11-26 23:17:19
3528,true,40,104,2019-11-26 23:17:19
3529,true,40,105,2019-11-26 23:17:19
3530,true,40,106,2019-11-26 23:17:19
3531,true,40,107,2019-11-26 23:17:19
3532,true,40,108,2019-11-26 23:17:20
3533,true,40,109,2019-11-26 23:17:20
3534,true,40,111,2019-11-26 23:17:20
3535,true,40,114,2019-11-26 23:17:20
3536,true,40,118,2019-11-26 23:17:20
3537,true,40,119,2019-11-26 23:17:20
3538,true,40,120,2019-11-26 23:17:20
3539,true,40,122,2019-11-26 23:17:20
3540,true,40,123,2019-11-26 23:17:20
3541,true,40,124,2019-11-26 23:17:20
3542,true,40,125,2019-11-26 23:17:20
3543,true,40,126,2019-11-26 23:17:20
3544,true,40,127,2019-11-26 23:17:20
3545,true,40,128,2019-11-26 23:17:20
3546,true,40,129,2019-11-26 23:17:20
3547,true,40,130,2019-11-26 23:17:20
3548,true,40,131,2019-11-26 23:17:20
3549,true,40,132,2019-11-26 23:17:20
3550,true,40,133,2019-11-26 23:17:20
3551,true,40,134,2019-11-26 23:17:20
3552,true,40,136,2019-11-26 23:17:20
3553,true,40,137,2019-11-26 23:17:20
3554,true,40,138,2019-11-26 23:17:20
3555,true,40,141,2019-11-26 23:17:20
3556,true,40,144,2019-11-26 23:17:20
3557,true,40,145,2019-11-26 23:17:20
3558,true,40,157,2019-11-26 23:17:20
3559,true,40,158,2019-11-26 23:17:20
3560,true,40,159,2019-11-26 23:17:20
3561,true,40,160,2019-11-26 23:17:20
3562,true,40,161,2019-11-26 23:17:20
3563,true,40,162,2019-11-26 23:17:20
3564,true,40,164,2019-11-26 23:17:20
3565,true,40,165,2019-11-26 23:17:20
3566,true,40,166,2019-11-26 23:17:20
3567,true,40,167,2019-11-26 23:17:20
3568,true,40,168,2019-11-26 23:17:20
3569,true,40,169,2019-11-26 23:17:20
3570,true,40,170,2019-11-26 23:17:20
3571,true,40,171,2019-11-26 23:17:20
3572,true,40,172,2019-11-26 23:17:20
3573,true,40,173,2019-11-26 23:17:20
3574,true,40,174,2019-11-26 23:17:20
