"id","vereador","total_vantagens","descontos_totais","valor_liquido","data","timestamp","id_vereador"
520,MARCO AURELIO DE M  LIMA,14635,2932.34,11702.66,"2019/01",2019-11-23 12:25:42,34
496,AERTO DE BRITO LUNA,14635,2880.21,11754.79,"2019/01",2019-11-23 12:25:42,39
502,ANA LUCIA DO REGO FERREIRA,14635,2932.34,11702.66,"2019/01",2019-11-23 12:25:42,36
540,ANA LUCIA DO REGO FERREIRA,14635,2926.49,11708.51,"2019/06",2019-11-23 12:25:43,36
515,HELIO BATISTA DE OLIVEIRA,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,37
553,HELIO BATISTA DE OLIVEIRA,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,37
560,MARCOS ANTONIO GOMES DA SILVA,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,38
492,ROMERO JATOBA C NETO,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,10
495,ADERALDO DE OLIVEIRA FLORENCIO,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,40
533,ADERALDO DE OLIVEIRA FLORENCIO,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:42,40
517,IVAN V DE MORAES FILHO,14635,2932.34,11702.66,"2019/01",2019-11-23 12:25:42,41
508,DAIZE MICHELE DE A. GONCALVES,14635,2880.21,11754.79,"2019/01",2019-11-23 12:25:42,43
546,DAIZE MICHELE DE A. GONCALVES,14635,2874.35,11760.65,"2019/06",2019-11-23 12:25:43,43
481,LUIZ FELIPE CAMARA DE O PONTES,14635,4373.62,10261.38,"2017/02",2019-11-23 12:25:41,44
519,LUIZ FELIPE CAMARA DE O PONTES,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,44
559,LUIZ FELIPE CAMARA DE O PONTES,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,44
498,ALCIDES TEIXEIRA NETO,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,45
536,ALCIDES TEIXEIRA NETO,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,45
554,INALDO GERSON P FREIRES,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,6
489,RINALDO ALVES DE L JUNIOR,14635,3467.2,11167.8,"2017/02",2019-11-23 12:25:41,28
550,FRANCISCO FERREIRA DA S FILHO,14635,2903.65,11731.35,"2019/06",2019-11-23 12:25:43,22
556,JAIRO XAVIER DE BRITTO,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,23
628,GILBERTO DARIO DE MELO ALVES,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,5
592,INALDO GERSON P FREIRES,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:43,6
627,FREDERICO M DE M S FERREIRA,14635,2822.21,11812.79,"2019/03",2019-11-23 12:25:44,29
582,BENJAMIM G DA SILVA JUNIOR,14635,3077.07,11557.93,"2019/08",2019-11-23 12:25:43,6
620,BENJAMIM G DA SILVA JUNIOR,14635,3077.07,11557.93,"2019/03",2019-11-23 12:25:44,6
608,SAMUEL R DOS SANTOS SALAZAR,14635,3155.27,11479.73,"2019/08",2019-11-23 12:25:44,7
576,ALMIR FERNANDO ALVES,14635,2926.49,11708.51,"2019/08",2019-11-23 12:25:43,8
614,ALMIR FERNANDO ALVES,14635,2926.49,11708.51,"2019/03",2019-11-23 12:25:44,8
580,ANTONIO LUIZ DA SILVA NETO,14635,2874.35,11760.65,"2019/08",2019-11-23 12:25:43,9
618,ANTONIO LUIZ DA SILVA NETO,14635,2874.35,11760.65,"2019/03",2019-11-23 12:25:44,9
625,EDUARDO PEREIRA DA SILVA,14635,2822.21,11812.79,"2019/03",2019-11-23 12:25:44,35
587,EDUARDO PEREIRA DA SILVA,14635,2822.21,11812.79,"2019/08",2019-11-23 12:25:43,35
607,ROMERO JATOBA C NETO,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:44,10
573,AIMEE SILVA DE CARVALHO,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:43,11
611,AIMEE SILVA DE CARVALHO,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,11
575,ALINE BRITO MARTINS DA FONSECA,14635,2926.49,11708.51,"2019/08",2019-11-23 12:25:43,13
613,ALINE BRITO MARTINS DA FONSECA,14635,2926.49,11708.51,"2019/03",2019-11-23 12:25:44,13
595,JOAO DA COSTA BEZERRA FILHO,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:44,14
633,JOAO DA COSTA BEZERRA FILHO,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,14
579,ANDRE REGIS DE CARVALHO,14635,2874.35,11760.65,"2019/08",2019-11-23 12:25:43,15
565,RICARDO JORGE DA CRUZ,14635,3050.61,11584.39,"2019/06",2019-11-23 12:25:43,17
603,RICARDO JORGE DA CRUZ,14635,3050.61,11584.39,"2019/08",2019-11-23 12:25:44,17
583,CARLOS ALBERTO GUEIROS,14635,2978.62,11656.38,"2019/08",2019-11-23 12:25:43,18
621,CARLOS ALBERTO GUEIROS,14635,2978.62,11656.38,"2019/03",2019-11-23 12:25:44,18
